0,12.5,-12.5
-60,-62,-58
-61,-61,-57
-60,-77,-66
-58,-60,-57
-60,-60,-65
-60,-60,-58
-58,-60,-65
-66,-80,-60
-67,-80,-58
-68,-76,-65
-61,-60,-57
-61,-61,-59
-68,-77,-59
-58,-76,-66
-58,-60,-57
-68,-61,-65
-61,-78,-59
-68,-60,-59
-61,-77,-65
-58,-61,-59
-58,-60,-59
-61,-61,-59
-61,-61,-57
-61,-60,-59
-58,-60,-65
-67,-60,-58
-58,-60,-64
-68,-78,-58
-58,-60,-58
-61,-61,-65
-61,-60,-57
-58,-60,-58
-67,-60,-65
-61,-61,-59
-58,-60,-57
-58,-77,-58
-61,-61,-58
-58,-62,-65
-58,-62,-59
-59,-62,-58
-67,-76,-57
-67,-61,-65
-61,-61,-57
-58,-60,-57
-58,-77,-65
-58,-60,-59
-61,-77,-65
-66,-60,-57
-67,-61,-58
-58,-76,-57
-58,-61,-66
-58,-61,-58
-61,-60,-57
-58,-76,-58
-61,-62,-65
-66,-62,-65
-59,-61,-57
-66,-81,-57
-59,-61,-57
-61,-81,-57
-61,-61,-65
-59,-62,-58
-61,-61,-58
-66,-62,-65
-61,-80,-65
-59,-61,-65
-59,-83,-58
-59,-82,-58
-66,-60,-65
-66,-62,-64
